wins,loss,total,team
79,-52,131,Chennai Super Kings
29,-46,75,Deccan Chargers
56,-77,133,Delhi Daredevils
9,-7,16,Gujarat Lions
63,-71,134,Kings XI Punjab
6,-8,14,Kochi Tuskers Kerala
68,-64,132,Kolkata Knight Riders
80,-60,140,Mumbai Indians
12,-34,46,Pune Warriors
63,-55,118,Rajasthan Royals
5,-9,14,Rising Pune Supergiants
70,-69,139,Royal Challengers Bangalore
34,-28,62,Sunrisers Hyderabad
