runs,player,team,season,match,stadium
27,AM Nayar,Chennai Super Kings,3,419170,Dr DY Patil Sports Academy
0,AM Nayar,Chennai Super Kings,4,501211,"Punjab Cricket Association Stadium, Mohali"
0,AM Nayar,Chennai Super Kings,6,598020,"MA Chidambaram Stadium, Chepauk"
2,AM Nayar,Chennai Super Kings,6,598043,Subrata Roy Sahara Stadium
5,AM Nayar,Chennai Super Kings,7,729302,Dubai International Cricket Stadium
4,AM Rahane,Chennai Super Kings,4,501245,"MA Chidambaram Stadium, Chepauk"
52,AM Rahane,Chennai Super Kings,4,501254,Sawai Mansingh Stadium
15,AM Rahane,Chennai Super Kings,5,548337,"MA Chidambaram Stadium, Chepauk"
17,AM Rahane,Chennai Super Kings,5,548366,Sawai Mansingh Stadium
16,AM Rahane,Chennai Super Kings,6,598031,"MA Chidambaram Stadium, Chepauk"
9,AM Rahane,Chennai Super Kings,6,598063,Sawai Mansingh Stadium
15,AM Rahane,Chennai Super Kings,7,729302,Dubai International Cricket Stadium
4,AM Rahane,Chennai Super Kings,7,734008,JSCA International Stadium Complex
76,AM Rahane,Chennai Super Kings,8,829740,"Sardar Patel Stadium, Motera"
23,AM Rahane,Chennai Super Kings,8,829802,"MA Chidambaram Stadium, Chepauk"
4,AN Ahmed,Chennai Super Kings,3,419147,"MA Chidambaram Stadium, Chepauk"
4,AN Ahmed,Chennai Super Kings,7,734018,JSCA International Stadium Complex
15,Ankit Sharma,Chennai Super Kings,5,548316,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
30,Ankit Sharma,Chennai Super Kings,7,734008,JSCA International Stadium Complex
0,Ankit Sharma,Chennai Super Kings,8,829802,"MA Chidambaram Stadium, Chepauk"
10,Anureet Singh,Chennai Super Kings,8,829758,"MA Chidambaram Stadium, Chepauk"
7,AP Tare,Chennai Super Kings,6,598075,Feroz Shah Kotla
0,AP Tare,Chennai Super Kings,6,598078,Eden Gardens
23,AP Tare,Chennai Super Kings,7,729308,Dubai International Cricket Stadium
9,AP Tare,Chennai Super Kings,7,734000,Wankhede Stadium
0,AP Tare,Chennai Super Kings,7,734050,Brabourne Stadium
2,AR Patel,Chennai Super Kings,7,729288,Sheikh Zayed Stadium
9,AR Patel,Chennai Super Kings,8,829758,"MA Chidambaram Stadium, Chepauk"
32,AR Patel,Chennai Super Kings,8,829814,"Punjab Cricket Association Stadium, Mohali"
7,AS Raut,Chennai Super Kings,2,392222,De Beers Diamond Oval
2,AS Raut,Chennai Super Kings,3,419142,"MA Chidambaram Stadium, Chepauk"
19,AS Raut,Chennai Super Kings,4,501254,Sawai Mansingh Stadium
3,AT Rayudu,Chennai Super Kings,3,419147,"MA Chidambaram Stadium, Chepauk"
21,AT Rayudu,Chennai Super Kings,3,419170,Dr DY Patil Sports Academy
27,AT Rayudu,Chennai Super Kings,4,501226,Wankhede Stadium
18,AT Rayudu,Chennai Super Kings,5,548311,"MA Chidambaram Stadium, Chepauk"
0,AT Rayudu,Chennai Super Kings,5,548360,Wankhede Stadium
11,AT Rayudu,Chennai Super Kings,5,548384,M Chinnaswamy Stadium
7,AT Rayudu,Chennai Super Kings,6,598007,"MA Chidambaram Stadium, Chepauk"
10,AT Rayudu,Chennai Super Kings,6,598051,Wankhede Stadium
15,AT Rayudu,Chennai Super Kings,6,598075,Feroz Shah Kotla
