runs,player,team,season,match,stadium
14,DPMD Jayawardene,Deccan Chargers,3,419122,Barabati Stadium
93,DPMD Jayawardene,Deccan Chargers,3,419161,Himachal Pradesh Cricket Association Stadium
4,DPMD Jayawardene,Deccan Chargers,4,501234,Nehru Stadium
6,DPMD Jayawardene,Deccan Chargers,5,548326,Feroz Shah Kotla
7,DS Kulkarni,Deccan Chargers,2,392217,SuperSport Park
0,DW Steyn,Deccan Chargers,3,419156,"Vidarbha Cricket Association Stadium, Jamtha"
14,EJG Morgan,Deccan Chargers,4,501244,"Rajiv Gandhi International Stadium, Uppal"
39,F du Plessis,Deccan Chargers,5,548316,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
42,F du Plessis,Deccan Chargers,5,548357,"MA Chidambaram Stadium, Chepauk"
8,FY Fazal,Deccan Chargers,3,419131,"Sardar Patel Stadium, Motera"
36,FY Fazal,Deccan Chargers,3,419146,"Vidarbha Cricket Association Stadium, Jamtha"
12,G Gambhir,Deccan Chargers,1,335993,"Rajiv Gandhi International Stadium, Uppal"
79,G Gambhir,Deccan Chargers,1,336025,Feroz Shah Kotla
17,G Gambhir,Deccan Chargers,2,392206,SuperSport Park
19,G Gambhir,Deccan Chargers,2,392228,Kingsmead
0,G Gambhir,Deccan Chargers,2,392242,SuperSport Park
4,G Gambhir,Deccan Chargers,3,419165,Feroz Shah Kotla
29,G Gambhir,Deccan Chargers,4,501208,Eden Gardens
35,G Gambhir,Deccan Chargers,4,501244,"Rajiv Gandhi International Stadium, Uppal"
30,G Gambhir,Deccan Chargers,5,548340,Barabati Stadium
71,GC Smith,Deccan Chargers,1,335995,"Rajiv Gandhi International Stadium, Uppal"
40,GC Smith,Deccan Chargers,1,336016,Sawai Mansingh Stadium
0,GC Smith,Deccan Chargers,2,392210,St George's Park
1,GC Smith,Deccan Chargers,2,392225,De Beers Diamond Oval
29,Gurkeerat Singh,Deccan Chargers,5,548371,"Punjab Cricket Association Stadium, Mohali"
20,Harbhajan Singh,Deccan Chargers,2,392197,Kingsmead
0,Harbhajan Singh,Deccan Chargers,2,392217,SuperSport Park
49,Harbhajan Singh,Deccan Chargers,3,419135,Dr DY Patil Sports Academy
17,Harbhajan Singh,Deccan Chargers,4,501261,Wankhede Stadium
5,HV Patel,Deccan Chargers,5,548381,"Rajiv Gandhi International Stadium, Uppal"
9,I Sharma,Deccan Chargers,2,392189,Newlands
10,IK Pathan,Deccan Chargers,2,392221,De Beers Diamond Oval
17,IK Pathan,Deccan Chargers,2,392234,New Wanderers Stadium
60,IK Pathan,Deccan Chargers,3,419122,Barabati Stadium
1,IK Pathan,Deccan Chargers,3,419161,Himachal Pradesh Cricket Association Stadium
5,IK Pathan,Deccan Chargers,4,501221,Feroz Shah Kotla
12,IK Pathan,Deccan Chargers,4,501248,"Rajiv Gandhi International Stadium, Uppal"
5,IK Pathan,Deccan Chargers,5,548326,Feroz Shah Kotla
67,J Botha,Deccan Chargers,4,501204,"Rajiv Gandhi International Stadium, Uppal"
14,J Botha,Deccan Chargers,5,548331,Sawai Mansingh Stadium
3,J Botha,Deccan Chargers,5,548378,"Rajiv Gandhi International Stadium, Uppal"
4,J Syed Mohammad,Deccan Chargers,5,548361,M Chinnaswamy Stadium
29,JA Morkel,Deccan Chargers,1,336012,"MA Chidambaram Stadium, Chepauk"
12,JA Morkel,Deccan Chargers,1,336042,"Rajiv Gandhi International Stadium, Uppal"
13,JA Morkel,Deccan Chargers,2,392201,Kingsmead
4,JA Morkel,Deccan Chargers,2,392214,Buffalo Park
42,JA Morkel,Deccan Chargers,3,419115,"MA Chidambaram Stadium, Chepauk"
4,JA Morkel,Deccan Chargers,3,419168,Dr DY Patil Sports Academy
19,JA Morkel,Deccan Chargers,4,501241,"MA Chidambaram Stadium, Chepauk"
2,JA Morkel,Deccan Chargers,5,548316,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
13,JA Morkel,Deccan Chargers,5,548357,"MA Chidambaram Stadium, Chepauk"
0,JD Ryder,Deccan Chargers,2,392193,Newlands
35,JD Ryder,Deccan Chargers,4,501255,"Rajiv Gandhi International Stadium, Uppal"
18,JD Ryder,Deccan Chargers,4,501264,Dr DY Patil Sports Academy
7,JD Ryder,Deccan Chargers,5,548346,Subrata Roy Sahara Stadium
41,JDP Oram,Deccan Chargers,2,392201,Kingsmead
7,JEC Franklin,Deccan Chargers,5,548319,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
13,JEC Franklin,Deccan Chargers,5,548351,Wankhede Stadium
31,JH Kallis,Deccan Chargers,1,336007,"Rajiv Gandhi International Stadium, Uppal"
6,JH Kallis,Deccan Chargers,1,336039,M Chinnaswamy Stadium
15,JH Kallis,Deccan Chargers,2,392193,Newlands
5,JH Kallis,Deccan Chargers,2,392241,SuperSport Park
15,JH Kallis,Deccan Chargers,2,392244,New Wanderers Stadium
68,JH Kallis,Deccan Chargers,3,419150,M Chinnaswamy Stadium
27,JH Kallis,Deccan Chargers,3,419156,"Vidarbha Cricket Association Stadium, Jamtha"
19,JH Kallis,Deccan Chargers,3,419169,Dr DY Patil Sports Academy
53,JH Kallis,Deccan Chargers,4,501208,Eden Gardens
30,JH Kallis,Deccan Chargers,4,501244,"Rajiv Gandhi International Stadium, Uppal"
23,JH Kallis,Deccan Chargers,5,548340,Barabati Stadium
0,JJ van der Wath,Deccan Chargers,4,501213,"Rajiv Gandhi International Stadium, Uppal"
22,JM Kemp,Deccan Chargers,3,419115,"MA Chidambaram Stadium, Chepauk"
16,Joginder Sharma,Deccan Chargers,1,336012,"MA Chidambaram Stadium, Chepauk"
47,JP Duminy,Deccan Chargers,2,392197,Kingsmead
52,JP Duminy,Deccan Chargers,2,392217,SuperSport Park
17,JR Hopes,Deccan Chargers,4,501221,Feroz Shah Kotla
17,JR Hopes,Deccan Chargers,4,501248,"Rajiv Gandhi International Stadium, Uppal"
1,KA Pollard,Deccan Chargers,3,419135,Dr DY Patil Sports Academy
21,KA Pollard,Deccan Chargers,3,419143,Brabourne Stadium
0,KA Pollard,Deccan Chargers,4,501229,"Rajiv Gandhi International Stadium, Uppal"
24,KA Pollard,Deccan Chargers,4,501261,Wankhede Stadium
24,KA Pollard,Deccan Chargers,5,548319,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
12,Kamran Akmal,Deccan Chargers,1,335995,"Rajiv Gandhi International Stadium, Uppal"
3,KC Sangakkara,Deccan Chargers,1,336004,"Rajiv Gandhi International Stadium, Uppal"
50,KC Sangakkara,Deccan Chargers,1,336036,"Punjab Cricket Association Stadium, Mohali"
25,KC Sangakkara,Deccan Chargers,2,392221,De Beers Diamond Oval
56,KC Sangakkara,Deccan Chargers,2,392234,New Wanderers Stadium
0,KC Sangakkara,Deccan Chargers,3,419122,Barabati Stadium
52,KC Sangakkara,Deccan Chargers,3,419161,Himachal Pradesh Cricket Association Stadium
41,KD Karthik,Deccan Chargers,2,392206,SuperSport Park
44,KD Karthik,Deccan Chargers,2,392228,Kingsmead
9,KD Karthik,Deccan Chargers,2,392242,SuperSport Park
46,KD Karthik,Deccan Chargers,3,419125,Barabati Stadium
1,KD Karthik,Deccan Chargers,3,419165,Feroz Shah Kotla
3,KD Karthik,Deccan Chargers,4,501217,"Rajiv Gandhi International Stadium, Uppal"
11,KD Karthik,Deccan Chargers,4,501269,Himachal Pradesh Cricket Association Stadium
7,KD Karthik,Deccan Chargers,5,548319,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
2,KD Karthik,Deccan Chargers,5,548351,Wankhede Stadium
0,KM Jadhav,Deccan Chargers,4,501234,Nehru Stadium
1,KP Appanna,Deccan Chargers,3,419156,"Vidarbha Cricket Association Stadium, Jamtha"
11,KP Pietersen,Deccan Chargers,2,392193,Newlands
29,KP Pietersen,Deccan Chargers,3,419169,Dr DY Patil Sports Academy
103,KP Pietersen,Deccan Chargers,5,548326,Feroz Shah Kotla
1,KV Sharma,Deccan Chargers,2,392193,Newlands
15,L Balaji,Deccan Chargers,3,419115,"MA Chidambaram Stadium, Chepauk"
13,L Ronchi,Deccan Chargers,1,335999,Dr DY Patil Sports Academy
39,LA Carseldine,Deccan Chargers,2,392210,St George's Park
8,LA Carseldine,Deccan Chargers,2,392225,De Beers Diamond Oval
13,LA Pomersbach,Deccan Chargers,1,336036,"Punjab Cricket Association Stadium, Mohali"
1,LA Pomersbach,Deccan Chargers,2,392234,New Wanderers Stadium
4,LR Shukla,Deccan Chargers,1,335991,Eden Gardens
8,LR Shukla,Deccan Chargers,1,336019,"Rajiv Gandhi International Stadium, Uppal"
8,LR Shukla,Deccan Chargers,2,392189,Newlands
1,LRPL Taylor,Deccan Chargers,2,392241,SuperSport Park
27,LRPL Taylor,Deccan Chargers,2,392244,New Wanderers Stadium
1,LRPL Taylor,Deccan Chargers,3,419150,M Chinnaswamy Stadium
1,LRPL Taylor,Deccan Chargers,3,419156,"Vidarbha Cricket Association Stadium, Jamtha"
21,LRPL Taylor,Deccan Chargers,4,501204,"Rajiv Gandhi International Stadium, Uppal"
13,LRPL Taylor,Deccan Chargers,5,548326,Feroz Shah Kotla
34,M Kaif,Deccan Chargers,1,335995,"Rajiv Gandhi International Stadium, Uppal"
17,M Kaif,Deccan Chargers,1,336016,Sawai Mansingh Stadium
10,M Kartik,Deccan Chargers,2,392189,Newlands
3,M Manhas,Deccan Chargers,2,392206,SuperSport Park
8,M Manhas,Deccan Chargers,3,419125,Barabati Stadium
23,M Manhas,Deccan Chargers,3,419165,Feroz Shah Kotla
0,M Manhas,Deccan Chargers,4,501264,Dr DY Patil Sports Academy
22,M Manhas,Deccan Chargers,5,548346,Subrata Roy Sahara Stadium
7,M Manhas,Deccan Chargers,5,548353,Barabati Stadium
8,M Morkel,Deccan Chargers,2,392225,De Beers Diamond Oval
7,M Morkel,Deccan Chargers,3,419146,"Vidarbha Cricket Association Stadium, Jamtha"
8,M Morkel,Deccan Chargers,4,501221,Feroz Shah Kotla
1,M Muralitharan,Deccan Chargers,3,419115,"MA Chidambaram Stadium, Chepauk"
0,M Muralitharan,Deccan Chargers,5,548381,"Rajiv Gandhi International Stadium, Uppal"
31,M Vijay,Deccan Chargers,2,392214,Buffalo Park
3,M Vijay,Deccan Chargers,3,419115,"MA Chidambaram Stadium, Chepauk"
23,M Vijay,Deccan Chargers,3,419152,"Vidarbha Cricket Association Stadium, Jamtha"
15,M Vijay,Deccan Chargers,3,419168,Dr DY Patil Sports Academy
3,M Vijay,Deccan Chargers,4,501241,"MA Chidambaram Stadium, Chepauk"
2,M Vijay,Deccan Chargers,5,548316,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
14,M Vijay,Deccan Chargers,5,548357,"MA Chidambaram Stadium, Chepauk"
16,MA Agarwal,Deccan Chargers,4,501213,"Rajiv Gandhi International Stadium, Uppal"
18,MA Agarwal,Deccan Chargers,5,548361,M Chinnaswamy Stadium
1,MA Agarwal,Deccan Chargers,5,548381,"Rajiv Gandhi International Stadium, Uppal"
7,MA Khote,Deccan Chargers,1,335999,Dr DY Patil Sports Academy
7,Mandeep Singh,Deccan Chargers,4,501269,Himachal Pradesh Cricket Association Stadium
75,Mandeep Singh,Deccan Chargers,5,548364,"Rajiv Gandhi International Stadium, Uppal"
28,Mandeep Singh,Deccan Chargers,5,548371,"Punjab Cricket Association Stadium, Mohali"
2,Mashrafe Mortaza,Deccan Chargers,2,392233,New Wanderers Stadium
6,MC Henriques,Deccan Chargers,2,392189,Newlands
11,MC Henriques,Deccan Chargers,3,419125,Barabati Stadium
8,MEK Hussey,Deccan Chargers,3,419152,"Vidarbha Cricket Association Stadium, Jamtha"
46,MEK Hussey,Deccan Chargers,4,501241,"MA Chidambaram Stadium, Chepauk"
19,MF Maharoof,Deccan Chargers,1,336025,Feroz Shah Kotla
34,Misbah-ul-Haq,Deccan Chargers,1,336007,"Rajiv Gandhi International Stadium, Uppal"
3,Misbah-ul-Haq,Deccan Chargers,1,336039,M Chinnaswamy Stadium
41,MJ Clarke,Deccan Chargers,5,548353,Barabati Stadium
45,MJ Lumb,Deccan Chargers,3,419131,"Sardar Patel Stadium, Motera"
15,MJ Lumb,Deccan Chargers,3,419146,"Vidarbha Cricket Association Stadium, Jamtha"
114,MK Pandey,Deccan Chargers,2,392241,SuperSport Park
4,MK Pandey,Deccan Chargers,2,392244,New Wanderers Stadium
1,MK Pandey,Deccan Chargers,3,419150,M Chinnaswamy Stadium
0,MK Pandey,Deccan Chargers,3,419156,"Vidarbha Cricket Association Stadium, Jamtha"
49,MK Pandey,Deccan Chargers,4,501255,"Rajiv Gandhi International Stadium, Uppal"
23,MK Pandey,Deccan Chargers,4,501264,Dr DY Patil Sports Academy
21,MK Pandey,Deccan Chargers,5,548346,Subrata Roy Sahara Stadium
0,MK Pandey,Deccan Chargers,5,548353,Barabati Stadium
4,MK Tiwary,Deccan Chargers,1,336025,Feroz Shah Kotla
0,MK Tiwary,Deccan Chargers,3,419111,Dr DY Patil Sports Academy
5,MK Tiwary,Deccan Chargers,3,419140,Eden Gardens
30,MK Tiwary,Deccan Chargers,4,501208,Eden Gardens
33,MK Tiwary,Deccan Chargers,4,501244,"Rajiv Gandhi International Stadium, Uppal"
30,MK Tiwary,Deccan Chargers,5,548340,Barabati Stadium
49,ML Hayden,Deccan Chargers,2,392201,Kingsmead
43,ML Hayden,Deccan Chargers,2,392214,Buffalo Park
17,ML Hayden,Deccan Chargers,3,419115,"MA Chidambaram Stadium, Chepauk"
19,ML Hayden,Deccan Chargers,3,419152,"Vidarbha Cricket Association Stadium, Jamtha"
8,ML Hayden,Deccan Chargers,3,419168,Dr DY Patil Sports Academy
5,MM Patel,Deccan Chargers,2,392225,De Beers Diamond Oval
3,MN Samuels,Deccan Chargers,5,548346,Subrata Roy Sahara Stadium
1,MN Samuels,Deccan Chargers,5,548353,Barabati Stadium
13,Mohammad Hafeez,Deccan Chargers,1,335991,Eden Gardens
37,MR Marsh,Deccan Chargers,4,501264,Dr DY Patil Sports Academy
0,MS Bisla,Deccan Chargers,3,419122,Barabati Stadium
19,MS Bisla,Deccan Chargers,4,501208,Eden Gardens
10,MS Bisla,Deccan Chargers,5,548340,Barabati Stadium
23,MS Dhoni,Deccan Chargers,1,336012,"MA Chidambaram Stadium, Chepauk"
37,MS Dhoni,Deccan Chargers,1,336042,"Rajiv Gandhi International Stadium, Uppal"
22,MS Dhoni,Deccan Chargers,2,392201,Kingsmead
58,MS Dhoni,Deccan Chargers,2,392214,Buffalo Park
42,MS Dhoni,Deccan Chargers,3,419115,"MA Chidambaram Stadium, Chepauk"
7,MS Dhoni,Deccan Chargers,3,419152,"Vidarbha Cricket Association Stadium, Jamtha"
30,MS Dhoni,Deccan Chargers,3,419168,Dr DY Patil Sports Academy
21,MS Dhoni,Deccan Chargers,4,501241,"MA Chidambaram Stadium, Chepauk"
7,MS Dhoni,Deccan Chargers,5,548316,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
34,MS Dhoni,Deccan Chargers,5,548357,"MA Chidambaram Stadium, Chepauk"
15,MS Gony,Deccan Chargers,1,336012,"MA Chidambaram Stadium, Chepauk"
16,MV Boucher,Deccan Chargers,1,336039,M Chinnaswamy Stadium
5,MV Boucher,Deccan Chargers,2,392244,New Wanderers Stadium
2,N Saini,Deccan Chargers,5,548364,"Rajiv Gandhi International Stadium, Uppal"
3,N Saini,Deccan Chargers,5,548371,"Punjab Cricket Association Stadium, Mohali"
22,NLTC Perera,Deccan Chargers,4,501234,Nehru Stadium
0,NV Ojha,Deccan Chargers,2,392210,St George's Park
16,NV Ojha,Deccan Chargers,2,392225,De Beers Diamond Oval
14,NV Ojha,Deccan Chargers,3,419131,"Sardar Patel Stadium, Motera"
1,NV Ojha,Deccan Chargers,3,419146,"Vidarbha Cricket Association Stadium, Jamtha"
2,NV Ojha,Deccan Chargers,4,501221,Feroz Shah Kotla
7,NV Ojha,Deccan Chargers,4,501248,"Rajiv Gandhi International Stadium, Uppal"
1,NV Ojha,Deccan Chargers,5,548326,Feroz Shah Kotla
64,NV Ojha,Deccan Chargers,5,548334,"Rajiv Gandhi International Stadium, Uppal"
58,OA Shah,Deccan Chargers,3,419111,Dr DY Patil Sports Academy
12,OA Shah,Deccan Chargers,5,548331,Sawai Mansingh Stadium
28,OA Shah,Deccan Chargers,5,548378,"Rajiv Gandhi International Stadium, Uppal"
8,P Kumar,Deccan Chargers,1,336039,M Chinnaswamy Stadium
14,P Kumar,Deccan Chargers,2,392193,Newlands
2,P Kumar,Deccan Chargers,2,392244,New Wanderers Stadium
0,P Kumar,Deccan Chargers,4,501269,Himachal Pradesh Cricket Association Stadium
0,P Parameswaran,Deccan Chargers,5,548381,"Rajiv Gandhi International Stadium, Uppal"
4,PA Patel,Deccan Chargers,1,336012,"MA Chidambaram Stadium, Chepauk"
20,PA Patel,Deccan Chargers,1,336042,"Rajiv Gandhi International Stadium, Uppal"
0,PA Patel,Deccan Chargers,2,392201,Kingsmead
0,PA Patel,Deccan Chargers,4,501234,Nehru Stadium
4,Pankaj Singh,Deccan Chargers,1,335995,"Rajiv Gandhi International Stadium, Uppal"
75,PC Valthaty,Deccan Chargers,4,501217,"Rajiv Gandhi International Stadium, Uppal"
5,PC Valthaty,Deccan Chargers,4,501269,Himachal Pradesh Cricket Association Stadium
51,PD Collingwood,Deccan Chargers,3,419165,Feroz Shah Kotla
0,PJ Sangwan,Deccan Chargers,2,392242,SuperSport Park
16,PP Chawla,Deccan Chargers,1,336036,"Punjab Cricket Association Stadium, Mohali"
8,PP Chawla,Deccan Chargers,2,392221,De Beers Diamond Oval
1,PP Chawla,Deccan Chargers,2,392234,New Wanderers Stadium
9,PP Chawla,Deccan Chargers,3,419122,Barabati Stadium
13,PP Chawla,Deccan Chargers,4,501269,Himachal Pradesh Cricket Association Stadium
8,PP Chawla,Deccan Chargers,5,548371,"Punjab Cricket Association Stadium, Mohali"
10,PR Shah,Deccan Chargers,1,336029,"Rajiv Gandhi International Stadium, Uppal"
1,PR Shah,Deccan Chargers,2,392197,Kingsmead
29,PR Shah,Deccan Chargers,2,392217,SuperSport Park
0,R Ashwin,Deccan Chargers,3,419115,"MA Chidambaram Stadium, Chepauk"
5,R Ashwin,Deccan Chargers,3,419152,"Vidarbha Cricket Association Stadium, Jamtha"
6,R Ashwin,Deccan Chargers,3,419168,Dr DY Patil Sports Academy
0,R Bhatia,Deccan Chargers,2,392228,Kingsmead
4,R Bhatia,Deccan Chargers,2,392242,SuperSport Park
1,R Bishnoi,Deccan Chargers,2,392193,Newlands
31,R Dravid,Deccan Chargers,1,336007,"Rajiv Gandhi International Stadium, Uppal"
26,R Dravid,Deccan Chargers,1,336039,M Chinnaswamy Stadium
48,R Dravid,Deccan Chargers,2,392193,Newlands
6,R Dravid,Deccan Chargers,2,392241,SuperSport Park
9,R Dravid,Deccan Chargers,2,392244,New Wanderers Stadium
26,R Dravid,Deccan Chargers,3,419150,M Chinnaswamy Stadium
49,R Dravid,Deccan Chargers,3,419156,"Vidarbha Cricket Association Stadium, Jamtha"
35,R Dravid,Deccan Chargers,3,419169,Dr DY Patil Sports Academy
28,R Dravid,Deccan Chargers,4,501204,"Rajiv Gandhi International Stadium, Uppal"
42,R Dravid,Deccan Chargers,5,548331,Sawai Mansingh Stadium
39,R Dravid,Deccan Chargers,5,548378,"Rajiv Gandhi International Stadium, Uppal"
13,R McLaren,Deccan Chargers,3,419135,Dr DY Patil Sports Academy
9,R McLaren,Deccan Chargers,4,501269,Himachal Pradesh Cricket Association Stadium
3,R Ninan,Deccan Chargers,4,501213,"Rajiv Gandhi International Stadium, Uppal"
3,R Sathish,Deccan Chargers,3,419135,Dr DY Patil Sports Academy
8,R Vinay Kumar,Deccan Chargers,2,392244,New Wanderers Stadium
4,R Vinay Kumar,Deccan Chargers,3,419156,"Vidarbha Cricket Association Stadium, Jamtha"
18,R Vinay Kumar,Deccan Chargers,4,501234,Nehru Stadium
7,R Vinay Kumar,Deccan Chargers,5,548381,"Rajiv Gandhi International Stadium, Uppal"
1,RA Jadeja,Deccan Chargers,1,335995,"Rajiv Gandhi International Stadium, Uppal"
12,RA Jadeja,Deccan Chargers,2,392210,St George's Park
19,RA Jadeja,Deccan Chargers,2,392225,De Beers Diamond Oval
23,RA Jadeja,Deccan Chargers,4,501234,Nehru Stadium
48,RA Jadeja,Deccan Chargers,5,548316,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
4,RA Jadeja,Deccan Chargers,5,548357,"MA Chidambaram Stadium, Chepauk"
3,RE Levi,Deccan Chargers,5,548319,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
0,RE Levi,Deccan Chargers,5,548351,Wankhede Stadium
23,RE van der Merwe,Deccan Chargers,2,392241,SuperSport Park
32,RE van der Merwe,Deccan Chargers,2,392244,New Wanderers Stadium
56,RG Sharma,Deccan Chargers,4,501229,"Rajiv Gandhi International Stadium, Uppal"
4,RG Sharma,Deccan Chargers,4,501261,Wankhede Stadium
73,RG Sharma,Deccan Chargers,5,548319,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
42,RG Sharma,Deccan Chargers,5,548351,Wankhede Stadium
0,RJ Harris,Deccan Chargers,4,501269,Himachal Pradesh Cricket Association Stadium
1,RJ Peterson,Deccan Chargers,5,548351,Wankhede Stadium
0,RP Singh,Deccan Chargers,4,501234,Nehru Stadium
1,RR Raje,Deccan Chargers,1,336029,"Rajiv Gandhi International Stadium, Uppal"
11,RR Raje,Deccan Chargers,2,392217,SuperSport Park
15,RR Sarwan,Deccan Chargers,1,336004,"Rajiv Gandhi International Stadium, Uppal"
38,RS Bopara,Deccan Chargers,3,419122,Barabati Stadium
0,RT Ponting,Deccan Chargers,1,335991,Eden Gardens
0,RV Gomez,Deccan Chargers,4,501234,Nehru Stadium
6,RV Uthappa,Deccan Chargers,1,335999,Dr DY Patil Sports Academy
7,RV Uthappa,Deccan Chargers,1,336029,"Rajiv Gandhi International Stadium, Uppal"
12,RV Uthappa,Deccan Chargers,2,392193,Newlands
17,RV Uthappa,Deccan Chargers,2,392244,New Wanderers Stadium
2,RV Uthappa,Deccan Chargers,3,419150,M Chinnaswamy Stadium
34,RV Uthappa,Deccan Chargers,3,419156,"Vidarbha Cricket Association Stadium, Jamtha"
1,RV Uthappa,Deccan Chargers,4,501255,"Rajiv Gandhi International Stadium, Uppal"
4,RV Uthappa,Deccan Chargers,4,501264,Dr DY Patil Sports Academy
29,RV Uthappa,Deccan Chargers,5,548346,Subrata Roy Sahara Stadium
26,RV Uthappa,Deccan Chargers,5,548353,Barabati Stadium
1,S Anirudha,Deccan Chargers,1,336012,"MA Chidambaram Stadium, Chepauk"
24,S Anirudha,Deccan Chargers,3,419168,Dr DY Patil Sports Academy
3,S Anirudha,Deccan Chargers,4,501241,"MA Chidambaram Stadium, Chepauk"
2,S Aravind,Deccan Chargers,4,501213,"Rajiv Gandhi International Stadium, Uppal"
0,S Badrinath,Deccan Chargers,1,336012,"MA Chidambaram Stadium, Chepauk"
8,S Badrinath,Deccan Chargers,2,392201,Kingsmead
5,S Badrinath,Deccan Chargers,3,419115,"MA Chidambaram Stadium, Chepauk"
6,S Badrinath,Deccan Chargers,3,419152,"Vidarbha Cricket Association Stadium, Jamtha"
37,S Badrinath,Deccan Chargers,3,419168,Dr DY Patil Sports Academy
5,S Badrinath,Deccan Chargers,4,501241,"MA Chidambaram Stadium, Chepauk"
25,S Badrinath,Deccan Chargers,5,548316,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
1,S Badrinath,Deccan Chargers,5,548357,"MA Chidambaram Stadium, Chepauk"
25,S Dhawan,Deccan Chargers,1,335993,"Rajiv Gandhi International Stadium, Uppal"
68,S Dhawan,Deccan Chargers,1,336025,Feroz Shah Kotla
3,S Dhawan,Deccan Chargers,2,392197,Kingsmead
8,S Dhawan,Deccan Chargers,3,419135,Dr DY Patil Sports Academy
14,S Dhawan,Deccan Chargers,3,419143,Brabourne Stadium
0,S Ladda,Deccan Chargers,3,419125,Barabati Stadium
30,S Sohal,Deccan Chargers,2,392221,De Beers Diamond Oval
9,S Sohal,Deccan Chargers,2,392234,New Wanderers Stadium
12,S Sreesanth,Deccan Chargers,3,419122,Barabati Stadium
0,S Sreesanth,Deccan Chargers,4,501234,Nehru Stadium
3,S Tyagi,Deccan Chargers,3,419115,"MA Chidambaram Stadium, Chepauk"
0,SA Asnodkar,Deccan Chargers,2,392210,St George's Park
44,SA Asnodkar,Deccan Chargers,2,392225,De Beers Diamond Oval
4,Salman Butt,Deccan Chargers,1,336019,"Rajiv Gandhi International Stadium, Uppal"
14,SC Ganguly,Deccan Chargers,1,335991,Eden Gardens
91,SC Ganguly,Deccan Chargers,1,336019,"Rajiv Gandhi International Stadium, Uppal"
1,SC Ganguly,Deccan Chargers,2,392189,Newlands
33,SC Ganguly,Deccan Chargers,2,392233,New Wanderers Stadium
0,SC Ganguly,Deccan Chargers,3,419111,Dr DY Patil Sports Academy
88,SC Ganguly,Deccan Chargers,3,419140,Eden Gardens
32,SC Ganguly,Deccan Chargers,4,501255,"Rajiv Gandhi International Stadium, Uppal"
0,SC Ganguly,Deccan Chargers,4,501264,Dr DY Patil Sports Academy
23,SC Ganguly,Deccan Chargers,5,548346,Subrata Roy Sahara Stadium
45,SC Ganguly,Deccan Chargers,5,548353,Barabati Stadium
6,SD Chitnis,Deccan Chargers,5,548364,"Rajiv Gandhi International Stadium, Uppal"
11,SD Chitnis,Deccan Chargers,5,548371,"Punjab Cricket Association Stadium, Mohali"
84,SE Marsh,Deccan Chargers,1,336004,"Rajiv Gandhi International Stadium, Uppal"
60,SE Marsh,Deccan Chargers,1,336036,"Punjab Cricket Association Stadium, Mohali"
0,SE Marsh,Deccan Chargers,3,419161,Himachal Pradesh Cricket Association Stadium
13,SE Marsh,Deccan Chargers,4,501269,Himachal Pradesh Cricket Association Stadium
22,SE Marsh,Deccan Chargers,5,548364,"Rajiv Gandhi International Stadium, Uppal"
11,SE Marsh,Deccan Chargers,5,548371,"Punjab Cricket Association Stadium, Mohali"
32,SK Raina,Deccan Chargers,1,336012,"MA Chidambaram Stadium, Chepauk"
54,SK Raina,Deccan Chargers,1,336042,"Rajiv Gandhi International Stadium, Uppal"
25,SK Raina,Deccan Chargers,2,392201,Kingsmead
32,SK Raina,Deccan Chargers,2,392214,Buffalo Park
6,SK Raina,Deccan Chargers,3,419115,"MA Chidambaram Stadium, Chepauk"
52,SK Raina,Deccan Chargers,3,419152,"Vidarbha Cricket Association Stadium, Jamtha"
2,SK Raina,Deccan Chargers,3,419168,Dr DY Patil Sports Academy
59,SK Raina,Deccan Chargers,4,501241,"MA Chidambaram Stadium, Chepauk"
16,SK Raina,Deccan Chargers,5,548316,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
32,SK Raina,Deccan Chargers,5,548357,"MA Chidambaram Stadium, Chepauk"
1,SK Trivedi,Deccan Chargers,2,392225,De Beers Diamond Oval
9,SK Trivedi,Deccan Chargers,3,419146,"Vidarbha Cricket Association Stadium, Jamtha"
22,SK Warne,Deccan Chargers,1,335995,"Rajiv Gandhi International Stadium, Uppal"
21,SK Warne,Deccan Chargers,2,392210,St George's Park
0,SK Warne,Deccan Chargers,2,392225,De Beers Diamond Oval
1,SK Warne,Deccan Chargers,3,419146,"Vidarbha Cricket Association Stadium, Jamtha"
3,SM Harwood,Deccan Chargers,2,392210,St George's Park
9,SM Katich,Deccan Chargers,2,392221,De Beers Diamond Oval
11,SM Katich,Deccan Chargers,2,392234,New Wanderers Stadium
31,SM Pollock,Deccan Chargers,1,335999,Dr DY Patil Sports Academy
