player,season
X Thalaivan Sargunam,6
Y Gnaneswara Rao,4
Y Nagar,2
Y Nagar,3
Y Nagar,4
Y Nagar,5
Y Venugopal Rao,1
Y Venugopal Rao,2
Y Venugopal Rao,3
Y Venugopal Rao,4
Y Venugopal Rao,5
Y Venugopal Rao,6
Y Venugopal Rao,7
YA Abdulla,2
YA Abdulla,3
Yashpal Singh,2
YK Pathan,1
YK Pathan,2
YK Pathan,3
YK Pathan,4
YK Pathan,5
YK Pathan,6
YK Pathan,7
YK Pathan,8
YK Pathan,9
Younis Khan,1
YS Chahal,6
YS Chahal,7
YS Chahal,8
YS Chahal,9
Yuvraj Singh,1
Yuvraj Singh,2
Yuvraj Singh,3
Yuvraj Singh,4
Yuvraj Singh,6
Yuvraj Singh,7
Yuvraj Singh,8
Yuvraj Singh,9
YV Takawale,1
YV Takawale,2
YV Takawale,7
Z Khan,1
Z Khan,2
Z Khan,3
Z Khan,4
Z Khan,5
Z Khan,6
Z Khan,7
Z Khan,8
Z Khan,9
