runs,player,team,season,match
2,B Akhil,Chennai Super Kings,1,336001
6,B Akhil,Chennai Super Kings,1,336034
0,B Akhil,Chennai Super Kings,2,392229
8,B Chipli,Chennai Super Kings,1,336001
17,B Chipli,Chennai Super Kings,4,501241
10,B Chipli,Chennai Super Kings,5,548316
2,B Kumar,Chennai Super Kings,5,548335
24,B Kumar,Chennai Super Kings,6,598043
6,B Lee,Chennai Super Kings,2,392239
16,B Sumanth,Chennai Super Kings,3,419168
24,BB McCullum,Chennai Super Kings,1,335998
81,BB McCullum,Chennai Super Kings,2,392236
0,BB McCullum,Chennai Super Kings,3,419158
47,BB McCullum,Chennai Super Kings,4,501220
33,BB McCullum,Chennai Super Kings,4,501266
2,BB McCullum,Chennai Super Kings,5,548352
37,BB McCullum,Chennai Super Kings,5,548373
6,BB McCullum,Chennai Super Kings,6,598039
1,BE Hendricks,Chennai Super Kings,8,829814
7,Bipul Sharma,Chennai Super Kings,5,548348
71,BJ Hodge,Chennai Super Kings,2,392236
0,BJ Hodge,Chennai Super Kings,3,419118
19,BJ Hodge,Chennai Super Kings,4,501220
51,BJ Hodge,Chennai Super Kings,4,501266
3,BJ Hodge,Chennai Super Kings,5,548337
33,BJ Hodge,Chennai Super Kings,5,548366
9,BJ Hodge,Chennai Super Kings,6,598031
0,BJ Hodge,Chennai Super Kings,6,598063
4,BJ Rohrer,Chennai Super Kings,6,598067
12,BMAJ Mendis,Chennai Super Kings,6,598025
7,CA Ingram,Chennai Super Kings,4,501258
2,CA Pujara,Chennai Super Kings,4,501216
0,CA Pujara,Chennai Super Kings,5,548323
13,CA Pujara,Chennai Super Kings,7,729288
7,CH Gayle,Chennai Super Kings,3,419158
75,CH Gayle,Chennai Super Kings,4,501271
8,CH Gayle,Chennai Super Kings,4,501273
0,CH Gayle,Chennai Super Kings,4,501276
68,CH Gayle,Chennai Super Kings,5,548323
4,CH Gayle,Chennai Super Kings,6,598017
28,CH Gayle,Chennai Super Kings,6,598073
46,CH Gayle,Chennai Super Kings,7,734018
41,CH Gayle,Chennai Super Kings,8,829826
16,CH Morris,Chennai Super Kings,8,829802
39,CJ Anderson,Chennai Super Kings,7,729308
18,CJ Anderson,Chennai Super Kings,7,734000
20,CJ Anderson,Chennai Super Kings,7,734050
4,CJ Anderson,Chennai Super Kings,8,829734
21,CL White,Chennai Super Kings,3,419138
13,CL White,Chennai Super Kings,4,501241
23,CL White,Chennai Super Kings,5,548316
77,CL White,Chennai Super Kings,5,548357
2,CL White,Chennai Super Kings,6,598035
7,CM Gautam,Chennai Super Kings,7,729308
9,CM Gautam,Chennai Super Kings,7,734000
4,CM Gautam,Chennai Super Kings,8,829712
2,CRD Fernando,Chennai Super Kings,3,419170
22,D Wiese,Chennai Super Kings,8,829750
17,D Wiese,Chennai Super Kings,8,829784
12,D Wiese,Chennai Super Kings,8,829826
19,DA Miller,Chennai Super Kings,5,548348
51,DA Miller,Chennai Super Kings,6,598046
54,DA Miller,Chennai Super Kings,7,729288
47,DA Miller,Chennai Super Kings,7,733992
38,DA Miller,Chennai Super Kings,7,734052
3,DA Miller,Chennai Super Kings,8,829758
11,DA Miller,Chennai Super Kings,8,829814
51,DA Warner,Chennai Super Kings,2,392211
6,DA Warner,Chennai Super Kings,3,419121
0,DA Warner,Chennai Super Kings,3,419160
21,DA Warner,Chennai Super Kings,4,501258
8,DA Warner,Chennai Super Kings,5,548369
3,DA Warner,Chennai Super Kings,5,548385
1,DA Warner,Chennai Super Kings,6,598025
44,DA Warner,Chennai Super Kings,6,598067
0,DA Warner,Chennai Super Kings,7,729316
90,DA Warner,Chennai Super Kings,7,734034
53,DA Warner,Chennai Super Kings,8,829716
61,DA Warner,Chennai Super Kings,8,829778
27,DB Das,Chennai Super Kings,1,336030
11,DB Das,Chennai Super Kings,5,548352
19,DB Das,Chennai Super Kings,5,548373
19,DB Das,Chennai Super Kings,6,598027
40,DB Ravi Teja,Chennai Super Kings,1,336042
0,DB Ravi Teja,Chennai Super Kings,5,548316
1,DH Yagnik,Chennai Super Kings,4,501245
3,DH Yagnik,Chennai Super Kings,4,501254
10,DH Yagnik,Chennai Super Kings,5,548366
7,DH Yagnik,Chennai Super Kings,6,598031
4,DH Yagnik,Chennai Super Kings,7,734008
24,DJ Bravo,Chennai Super Kings,1,335994
5,DJ Bravo,Chennai Super Kings,2,392186
