runs,player,team,season,match
4,A Symonds,Delhi Daredevils,4,501251
4,A Uniyal,Delhi Daredevils,3,419116
22,AA Bilakhia,Delhi Daredevils,2,392206
10,AA Bilakhia,Delhi Daredevils,2,392242
7,AA Chavan,Delhi Daredevils,5,548354
53,AA Jhunjhunwala,Delhi Daredevils,3,419116
2,AA Jhunjhunwala,Delhi Daredevils,3,419139
4,AA Jhunjhunwala,Delhi Daredevils,5,548326
39,AB Agarkar,Delhi Daredevils,2,392224
17,AB Agarkar,Delhi Daredevils,3,419136
2,AB Barath,Delhi Daredevils,3,419154
5,AB de Villiers,Delhi Daredevils,3,419119
5,AB de Villiers,Delhi Daredevils,4,501232
64,AB de Villiers,Delhi Daredevils,5,548315
52,AB de Villiers,Delhi Daredevils,6,598022
32,AB de Villiers,Delhi Daredevils,6,598059
33,AB de Villiers,Delhi Daredevils,7,734010
55,AB de Villiers,Delhi Daredevils,9,980926
6,AB de Villiers,Delhi Daredevils,9,981016
30,AB McDonald,Delhi Daredevils,5,548315
0,AB McDonald,Delhi Daredevils,6,598022
37,AC Blizzard,Delhi Daredevils,4,501251
0,AC Blizzard,Delhi Daredevils,5,548347
8,AC Gilchrist,Delhi Daredevils,1,335993
14,AC Gilchrist,Delhi Daredevils,1,336025
8,AC Gilchrist,Delhi Daredevils,2,392206
64,AC Gilchrist,Delhi Daredevils,2,392228
85,AC Gilchrist,Delhi Daredevils,2,392242
24,AC Gilchrist,Delhi Daredevils,3,419125
10,AC Gilchrist,Delhi Daredevils,3,419165
42,AC Gilchrist,Delhi Daredevils,4,501228
9,AC Gilchrist,Delhi Daredevils,4,501262
9,AC Gilchrist,Delhi Daredevils,5,548379
42,AC Gilchrist,Delhi Daredevils,6,598033
6,AC Gilchrist,Delhi Daredevils,6,598064
15,AC Voges,Delhi Daredevils,3,419139
9,AD Mascarenhas,Delhi Daredevils,1,336020
3,AD Mascarenhas,Delhi Daredevils,3,419116
24,AD Mathews,Delhi Daredevils,3,419136
46,AD Mathews,Delhi Daredevils,3,419149
6,AD Mathews,Delhi Daredevils,5,548338
30,AD Mathews,Delhi Daredevils,6,598072
5,AD Russell,Delhi Daredevils,8,829766
17,AD Russell,Delhi Daredevils,9,980956
5,AG Paunikar,Delhi Daredevils,4,501209
37,AJ Finch,Delhi Daredevils,6,598040
52,AJ Finch,Delhi Daredevils,6,598072
88,AJ Finch,Delhi Daredevils,7,729306
4,AJ Finch,Delhi Daredevils,7,733998
5,AJ Finch,Delhi Daredevils,9,980966
22,AL Menaria,Delhi Daredevils,4,501209
2,AL Menaria,Delhi Daredevils,5,548354
1,AL Menaria,Delhi Daredevils,6,598006
2,AM Nayar,Delhi Daredevils,1,336009
1,AM Nayar,Delhi Daredevils,1,336037
18,AM Nayar,Delhi Daredevils,2,392220
4,AM Nayar,Delhi Daredevils,2,392240
17,AM Nayar,Delhi Daredevils,4,501228
12,AM Rahane,Delhi Daredevils,2,392220
56,AM Rahane,Delhi Daredevils,2,392240
18,AM Rahane,Delhi Daredevils,4,501209
84,AM Rahane,Delhi Daredevils,5,548350
42,AM Rahane,Delhi Daredevils,5,548354
28,AM Rahane,Delhi Daredevils,6,598006
63,AM Rahane,Delhi Daredevils,6,598054
12,AM Rahane,Delhi Daredevils,7,733980
64,AM Rahane,Delhi Daredevils,7,734016
47,AM Rahane,Delhi Daredevils,8,829720
91,AM Rahane,Delhi Daredevils,8,829782
63,AM Rahane,Delhi Daredevils,9,980970
42,AM Rahane,Delhi Daredevils,9,981002
1,Ankit Sharma,Delhi Daredevils,5,548326
8,Anureet Singh,Delhi Daredevils,8,829772
17,AP Tare,Delhi Daredevils,3,419119
8,AP Tare,Delhi Daredevils,7,729314
14,AP Tare,Delhi Daredevils,7,734036
42,AR Patel,Delhi Daredevils,7,734024
13,AR Patel,Delhi Daredevils,8,829730
22,AR Patel,Delhi Daredevils,8,829772
11,AR Patel,Delhi Daredevils,9,980918
16,AR Patel,Delhi Daredevils,9,980976
11,AS Raut,Delhi Daredevils,2,392235
34,AT Rayudu,Delhi Daredevils,3,419119
24,AT Rayudu,Delhi Daredevils,3,419157
14,AT Rayudu,Delhi Daredevils,4,501206
59,AT Rayudu,Delhi Daredevils,4,501251
4,AT Rayudu,Delhi Daredevils,5,548330
62,AT Rayudu,Delhi Daredevils,5,548347
24,AT Rayudu,Delhi Daredevils,6,598011
2,AT Rayudu,Delhi Daredevils,6,598029
14,AT Rayudu,Delhi Daredevils,7,729314
2,AT Rayudu,Delhi Daredevils,7,734036
30,AT Rayudu,Delhi Daredevils,8,829752
49,AT Rayudu,Delhi Daredevils,8,829788
25,AT Rayudu,Delhi Daredevils,9,980938
13,AT Rayudu,Delhi Daredevils,9,980998
9,Azhar Mahmood,Delhi Daredevils,5,548374
36,Azhar Mahmood,Delhi Daredevils,5,548379
9,Azhar Mahmood,Delhi Daredevils,6,598033
3,B Akhil,Delhi Daredevils,1,336031
8,B Akhil,Delhi Daredevils,2,392199
13,B Akhil,Delhi Daredevils,4,501238
2,B Chipli,Delhi Daredevils,1,336031
5,B Chipli,Delhi Daredevils,4,501221
1,B Chipli,Delhi Daredevils,4,501248
25,B Chipli,Delhi Daredevils,5,548326
1,B Kumar,Delhi Daredevils,9,980988
13,B Kumar,Delhi Daredevils,9,981008
1,B Lee,Delhi Daredevils,1,336000
1,B Lee,Delhi Daredevils,4,501235
9,B Lee,Delhi Daredevils,5,548312
16,B Lee,Delhi Daredevils,6,598045
7,B Sumanth,Delhi Daredevils,3,419165
35,BB McCullum,Delhi Daredevils,2,392216
6,BB McCullum,Delhi Daredevils,2,392224
6,BB McCullum,Delhi Daredevils,3,419149
7,BB McCullum,Delhi Daredevils,4,501238
37,BB McCullum,Delhi Daredevils,4,501243
9,BB McCullum,Delhi Daredevils,5,548312
56,BB McCullum,Delhi Daredevils,5,548362
31,BB McCullum,Delhi Daredevils,5,548383
9,BB McCullum,Delhi Daredevils,7,729298
32,BB McCullum,Delhi Daredevils,7,733986
4,BB McCullum,Delhi Daredevils,8,829712
11,BB McCullum,Delhi Daredevils,8,829806
60,BB McCullum,Delhi Daredevils,9,980950
1,BB McCullum,Delhi Daredevils,9,980966
1,BB Sran,Delhi Daredevils,9,980988
8,BCJ Cutting,Delhi Daredevils,7,734016
10,BJ Hodge,Delhi Daredevils,2,392216
0,BJ Hodge,Delhi Daredevils,2,392224
27,BJ Hodge,Delhi Daredevils,4,501238
24,BJ Hodge,Delhi Daredevils,4,501243
22,BJ Hodge,Delhi Daredevils,5,548350
1,BJ Hodge,Delhi Daredevils,5,548354
5,BJ Hodge,Delhi Daredevils,6,598006
15,C Madan,Delhi Daredevils,3,419157
7,CA Pujara,Delhi Daredevils,4,501232
11,CA Pujara,Delhi Daredevils,5,548315
17,CA Pujara,Delhi Daredevils,6,598059
30,CH Gayle,Delhi Daredevils,3,419136
40,CH Gayle,Delhi Daredevils,3,419149
26,CH Gayle,Delhi Daredevils,4,501232
128,CH Gayle,Delhi Daredevils,5,548377
15,CH Gayle,Delhi Daredevils,6,598022
4,CH Gayle,Delhi Daredevils,6,598059
22,CH Gayle,Delhi Daredevils,7,734010
62,CH Gayle,Delhi Daredevils,8,829762
1,CH Gayle,Delhi Daredevils,8,829818
0,CH Gayle,Delhi Daredevils,9,980926
1,CH Gayle,Delhi Daredevils,9,981016
13,CH Morris,Delhi Daredevils,8,829720
13,CJ Anderson,Delhi Daredevils,7,729314
8,CJ McKay,Delhi Daredevils,5,548330
8,CK Kapugedera,Delhi Daredevils,1,336014
0,CK Langeveldt,Delhi Daredevils,3,419136
1,CL White,Delhi Daredevils,1,336031
4,CL White,Delhi Daredevils,3,419145
31,CL White,Delhi Daredevils,4,501221
65,CL White,Delhi Daredevils,5,548334
4,CL White,Delhi Daredevils,6,598015
22,CM Gautam,Delhi Daredevils,7,729314
26,D Salunkhe,Delhi Daredevils,1,335989
5,D Wiese,Delhi Daredevils,9,980926
4,DA Miller,Delhi Daredevils,5,548374
44,DA Miller,Delhi Daredevils,6,598033
34,DA Miller,Delhi Daredevils,6,598064
2,DA Miller,Delhi Daredevils,7,734024
47,DA Miller,Delhi Daredevils,7,734044
5,DA Miller,Delhi Daredevils,8,829730
42,DA Miller,Delhi Daredevils,8,829772
9,DA Miller,Delhi Daredevils,9,980918
11,DA Miller,Delhi Daredevils,9,980976
58,DA Warner,Delhi Daredevils,7,729306
12,DA Warner,Delhi Daredevils,7,733998
28,DA Warner,Delhi Daredevils,8,829736
17,DA Warner,Delhi Daredevils,8,829798
46,DA Warner,Delhi Daredevils,9,980988
73,DA Warner,Delhi Daredevils,9,981008
18,DB Das,Delhi Daredevils,5,548312
1,DB Das,Delhi Daredevils,5,548362
18,DB Das,Delhi Daredevils,6,598045
9,DB Ravi Teja,Delhi Daredevils,1,336025
27,DB Ravi Teja,Delhi Daredevils,2,392228
2,DB Ravi Teja,Delhi Daredevils,4,501248
16,DE Bollinger,Delhi Daredevils,3,419160
2,DJ Bravo,Delhi Daredevils,1,336009
35,DJ Bravo,Delhi Daredevils,2,392220
9,DJ Bravo,Delhi Daredevils,3,419119
22,DJ Bravo,Delhi Daredevils,5,548321
33,DJ Bravo,Delhi Daredevils,5,548385
3,DJ Bravo,Delhi Daredevils,6,598025
12,DJ Bravo,Delhi Daredevils,6,598067
1,DJ Bravo,Delhi Daredevils,8,829712
8,DJ Bravo,Delhi Daredevils,8,829806
7,DJ Bravo,Delhi Daredevils,9,980950
19,DJ Harris,Delhi Daredevils,5,548334
54,DJ Hooda,Delhi Daredevils,8,829720
10,DJ Hooda,Delhi Daredevils,9,980988
1,DJ Hooda,Delhi Daredevils,9,981008
31,DJ Hussey,Delhi Daredevils,1,336022
29,DJ Hussey,Delhi Daredevils,3,419136
20,DJ Hussey,Delhi Daredevils,4,501228
3,DJ Hussey,Delhi Daredevils,4,501262
40,DJ Hussey,Delhi Daredevils,5,548374
3,DJ Hussey,Delhi Daredevils,5,548379
20,DJ Hussey,Delhi Daredevils,6,598064
1,DJ Jacobs,Delhi Daredevils,4,501206
0,DJ Jacobs,Delhi Daredevils,5,548330
30,DJ Thornely,Delhi Daredevils,1,336009
18,DJG Sammy,Delhi Daredevils,6,598049
18,DL Vettori,Delhi Daredevils,4,501232
3,DL Vettori,Delhi Daredevils,5,548315
1,DP Nannes,Delhi Daredevils,3,419119
1,DP Vijaykumar,Delhi Daredevils,1,336025
15,DPMD Jayawardene,Delhi Daredevils,1,336000
36,DPMD Jayawardene,Delhi Daredevils,1,336027
6,DPMD Jayawardene,Delhi Daredevils,2,392188
0,DPMD Jayawardene,Delhi Daredevils,3,419113
38,DPMD Jayawardene,Delhi Daredevils,3,419154
18,DPMD Jayawardene,Delhi Daredevils,4,501238
7,DPMD Jayawardene,Delhi Daredevils,4,501243
17,DR Smith,Delhi Daredevils,1,336037
48,DR Smith,Delhi Daredevils,2,392206
1,DR Smith,Delhi Daredevils,2,392228
8,DR Smith,Delhi Daredevils,6,598029
29,DR Smith,Delhi Daredevils,7,729298
79,DR Smith,Delhi Daredevils,7,733986
34,DR Smith,Delhi Daredevils,8,829712
18,DR Smith,Delhi Daredevils,8,829806
53,DR Smith,Delhi Daredevils,9,980950
15,DR Smith,Delhi Daredevils,9,980966
1,DS Kulkarni,Delhi Daredevils,2,392220
1,DS Lehmann,Delhi Daredevils,1,335989
8,DT Christian,Delhi Daredevils,4,501221
27,DT Christian,Delhi Daredevils,4,501248
19,DT Christian,Delhi Daredevils,5,548326
8,DW Steyn,Delhi Daredevils,3,419133
2,DW Steyn,Delhi Daredevils,5,548326
9,DW Steyn,Delhi Daredevils,6,598015
17,EJG Morgan,Delhi Daredevils,3,419133
0,EJG Morgan,Delhi Daredevils,4,501235
14,EJG Morgan,Delhi Daredevils,6,598003
10,EJG Morgan,Delhi Daredevils,6,598045
1,EJG Morgan,Delhi Daredevils,8,829736
22,EJG Morgan,Delhi Daredevils,8,829798
14,EJG Morgan,Delhi Daredevils,9,981008
15,F du Plessis,Delhi Daredevils,5,548321
24,F du Plessis,Delhi Daredevils,7,729298
32,F du Plessis,Delhi Daredevils,8,829712
29,F du Plessis,Delhi Daredevils,8,829806
0,FY Fazal,Delhi Daredevils,3,419139
18,G Gambhir,Delhi Daredevils,4,501235
16,G Gambhir,Delhi Daredevils,5,548312
36,G Gambhir,Delhi Daredevils,5,548362
32,G Gambhir,Delhi Daredevils,5,548383
41,G Gambhir,Delhi Daredevils,6,598003
0,G Gambhir,Delhi Daredevils,7,729294
69,G Gambhir,Delhi Daredevils,7,733990
60,G Gambhir,Delhi Daredevils,8,829744
12,G Gambhir,Delhi Daredevils,8,829766
38,G Gambhir,Delhi Daredevils,9,980908
6,G Gambhir,Delhi Daredevils,9,980956
24,GC Smith,Delhi Daredevils,1,336020
25,GC Smith,Delhi Daredevils,1,336043
44,GC Smith,Delhi Daredevils,2,392203
0,GC Smith,Delhi Daredevils,2,392235
18,GC Smith,Delhi Daredevils,3,419116
12,GC Smith,Delhi Daredevils,4,501218
17,GH Vihari,Delhi Daredevils,6,598015
11,GH Vihari,Delhi Daredevils,6,598049
6,GJ Bailey,Delhi Daredevils,7,734024
1,GJ Bailey,Delhi Daredevils,7,734044
19,GJ Bailey,Delhi Daredevils,8,829730
18,GJ Bailey,Delhi Daredevils,8,829772
8,GJ Bailey,Delhi Daredevils,9,981002
14,GJ Maxwell,Delhi Daredevils,7,734024
0,GJ Maxwell,Delhi Daredevils,7,734044
15,GJ Maxwell,Delhi Daredevils,8,829730
0,GJ Maxwell,Delhi Daredevils,9,980918
16,GJ Maxwell,Delhi Daredevils,9,980976
8,Gurkeerat Singh,Delhi Daredevils,5,548374
26,Gurkeerat Singh,Delhi Daredevils,5,548379
10,Harbhajan Singh,Delhi Daredevils,2,392220
12,Harbhajan Singh,Delhi Daredevils,2,392240
33,Harbhajan Singh,Delhi Daredevils,5,548330
15,Harbhajan Singh,Delhi Daredevils,5,548347
1,Harbhajan Singh,Delhi Daredevils,6,598011
10,Harbhajan Singh,Delhi Daredevils,7,729314
2,Harbhajan Singh,Delhi Daredevils,7,734036
9,Harbhajan Singh,Delhi Daredevils,8,829752
5,Harbhajan Singh,Delhi Daredevils,8,829788
0,Harbhajan Singh,Delhi Daredevils,9,980938
22,HH Gibbs,Delhi Daredevils,1,336025
0,HH Gibbs,Delhi Daredevils,2,392206
0,HH Gibbs,Delhi Daredevils,2,392242
31,HH Gibbs,Delhi Daredevils,3,419125
0,HH Pandya,Delhi Daredevils,8,829752
5,HH Pandya,Delhi Daredevils,8,829788
2,HH Pandya,Delhi Daredevils,9,980938
1,HM Amla,Delhi Daredevils,9,980976
0,HV Patel,Delhi Daredevils,5,548315
7,I Malhotra,Delhi Daredevils,4,501248
10,IK Pathan,Delhi Daredevils,1,336000
6,IK Pathan,Delhi Daredevils,2,392188
21,IK Pathan,Delhi Daredevils,2,392231
21,IK Pathan,Delhi Daredevils,3,419113
12,IK Pathan,Delhi Daredevils,3,419154
1,Iqbal Abdulla,Delhi Daredevils,1,336022
1,Iqbal Abdulla,Delhi Daredevils,5,548312
2,Ishan Kishan,Delhi Daredevils,9,980950
2,Ishan Kishan,Delhi Daredevils,9,980966
37,J Botha,Delhi Daredevils,2,392235
39,J Botha,Delhi Daredevils,4,501209
17,J Botha,Delhi Daredevils,8,829766
13,J Syed Mohammad,Delhi Daredevils,4,501232
1,J Syed Mohammad,Delhi Daredevils,6,598022
28,JA Morkel,Delhi Daredevils,1,336006
30,JA Morkel,Delhi Daredevils,1,336014
13,JA Morkel,Delhi Daredevils,2,392194
6,JA Morkel,Delhi Daredevils,2,392211
0,JA Morkel,Delhi Daredevils,3,419121
1,JA Morkel,Delhi Daredevils,3,419160
2,JA Morkel,Delhi Daredevils,5,548321
0,JA Morkel,Delhi Daredevils,5,548385
2,JC Buttler,Delhi Daredevils,9,980938
18,JC Buttler,Delhi Daredevils,9,980998
60,JD Ryder,Delhi Daredevils,4,501218
86,JD Ryder,Delhi Daredevils,5,548338
0,JD Ryder,Delhi Daredevils,5,548342
3,JDP Oram,Delhi Daredevils,2,392211
54,JH Kallis,Delhi Daredevils,1,336003
25,JH Kallis,Delhi Daredevils,1,336031
0,JH Kallis,Delhi Daredevils,2,392199
58,JH Kallis,Delhi Daredevils,2,392237
27,JH Kallis,Delhi Daredevils,3,419133
54,JH Kallis,Delhi Daredevils,3,419145
11,JH Kallis,Delhi Daredevils,4,501235
4,JH Kallis,Delhi Daredevils,5,548312
30,JH Kallis,Delhi Daredevils,5,548362
30,JH Kallis,Delhi Daredevils,5,548383
23,JH Kallis,Delhi Daredevils,6,598003
12,JH Kallis,Delhi Daredevils,6,598045
0,JH Kallis,Delhi Daredevils,7,729294
10,JH Kallis,Delhi Daredevils,7,733990
0,JJ Bumrah,Delhi Daredevils,7,734036
4,JM Kemp,Delhi Daredevils,3,419121
0,JO Holder,Delhi Daredevils,9,980956
4,Joginder Sharma,Delhi Daredevils,2,392194
0,JP Duminy,Delhi Daredevils,2,392220
9,JP Duminy,Delhi Daredevils,2,392240
21,JP Duminy,Delhi Daredevils,3,419157
55,JP Duminy,Delhi Daredevils,4,501248
4,JP Duminy,Delhi Daredevils,5,548326
13,JP Duminy,Delhi Daredevils,5,548334
23,JP Faulkner,Delhi Daredevils,7,734016
17,JP Faulkner,Delhi Daredevils,8,829720
8,JP Faulkner,Delhi Daredevils,8,829782
22,JP Faulkner,Delhi Daredevils,9,980950
7,JP Faulkner,Delhi Daredevils,9,980966
4,JR Hopes,Delhi Daredevils,1,336027
1,K Goel,Delhi Daredevils,1,336000
38,K Goel,Delhi Daredevils,2,392188
10,KA Pollard,Delhi Daredevils,3,419119
45,KA Pollard,Delhi Daredevils,3,419157
9,KA Pollard,Delhi Daredevils,4,501251
1,KA Pollard,Delhi Daredevils,5,548330
16,KA Pollard,Delhi Daredevils,5,548347
13,KA Pollard,Delhi Daredevils,6,598011
19,KA Pollard,Delhi Daredevils,6,598029
33,KA Pollard,Delhi Daredevils,7,729314
11,KA Pollard,Delhi Daredevils,7,734036
10,KA Pollard,Delhi Daredevils,8,829752
26,KA Pollard,Delhi Daredevils,8,829788
19,KA Pollard,Delhi Daredevils,9,980938
3,KA Pollard,Delhi Daredevils,9,980998
5,KB Arun Karthik,Delhi Daredevils,6,598022
4,KC Sangakkara,Delhi Daredevils,1,336000
8,KC Sangakkara,Delhi Daredevils,2,392188
43,KC Sangakkara,Delhi Daredevils,2,392231
17,KC Sangakkara,Delhi Daredevils,3,419113
33,KC Sangakkara,Delhi Daredevils,3,419154
49,KC Sangakkara,Delhi Daredevils,4,501221
44,KC Sangakkara,Delhi Daredevils,4,501248
1,KC Sangakkara,Delhi Daredevils,5,548326
4,KC Sangakkara,Delhi Daredevils,5,548334
28,KC Sangakkara,Delhi Daredevils,6,598015
8,KC Sangakkara,Delhi Daredevils,6,598049
3,KD Karthik,Delhi Daredevils,3,419119
6,KD Karthik,Delhi Daredevils,4,501228
27,KD Karthik,Delhi Daredevils,4,501262
3,KD Karthik,Delhi Daredevils,5,548330
40,KD Karthik,Delhi Daredevils,5,548347
86,KD Karthik,Delhi Daredevils,6,598011
2,KD Karthik,Delhi Daredevils,6,598029
19,KD Karthik,Delhi Daredevils,9,980950
53,KD Karthik,Delhi Daredevils,9,980966
36,KH Pandya,Delhi Daredevils,9,980938
86,KH Pandya,Delhi Daredevils,9,980998
2,KK Cooper,Delhi Daredevils,6,598006
32,KK Cooper,Delhi Daredevils,7,734016
73,KK Nair,Delhi Daredevils,7,733980
19,KK Nair,Delhi Daredevils,7,734016
20,KK Nair,Delhi Daredevils,8,829720
61,KK Nair,Delhi Daredevils,8,829782
12,KL Rahul,Delhi Daredevils,6,598022
24,KL Rahul,Delhi Daredevils,8,829736
38,KL Rahul,Delhi Daredevils,9,981016
9,KM Jadhav,Delhi Daredevils,9,980926
1,KP Appanna,Delhi Daredevils,3,419145
37,KP Pietersen,Delhi Daredevils,2,392199
16,KP Pietersen,Delhi Daredevils,3,419145
27,KS Williamson,Delhi Daredevils,9,980988
19,KV Sharma,Delhi Daredevils,8,829736
16,KV Sharma,Delhi Daredevils,8,829798
2,L Balaji,Delhi Daredevils,2,392211
3,L Balaji,Delhi Daredevils,3,419160
3,L Balaji,Delhi Daredevils,4,501235
0,L Ronchi,Delhi Daredevils,2,392220
25,LA Pomersbach,Delhi Daredevils,1,336027
9,LA Pomersbach,Delhi Daredevils,2,392231
18,LA Pomersbach,Delhi Daredevils,6,598064
19,LJ Wright,Delhi Daredevils,6,598040
44,LJ Wright,Delhi Daredevils,6,598072
35,LMP Simmons,Delhi Daredevils,7,734036
15,LMP Simmons,Delhi Daredevils,8,829752
0,LMP Simmons,Delhi Daredevils,8,829788
10,LR Shukla,Delhi Daredevils,1,336022
26,LR Shukla,Delhi Daredevils,5,548312
24,LR Shukla,Delhi Daredevils,5,548383
29,LRPL Taylor,Delhi Daredevils,1,336003
31,LRPL Taylor,Delhi Daredevils,2,392199
25,LRPL Taylor,Delhi Daredevils,2,392237
22,LRPL Taylor,Delhi Daredevils,3,419145
18,LRPL Taylor,Delhi Daredevils,4,501209
1,M de Lange,Delhi Daredevils,7,734036
9,M Kaif,Delhi Daredevils,1,335989
1,M Kaif,Delhi Daredevils,1,336020
12,M Kaif,Delhi Daredevils,1,336043
6,M Kaif,Delhi Daredevils,3,419113
11,M Kartik,Delhi Daredevils,2,392224
1,M Kartik,Delhi Daredevils,3,419136
2,M Klinger,Delhi Daredevils,4,501238
18,M Klinger,Delhi Daredevils,4,501243
20,M Manhas,Delhi Daredevils,4,501218
2,M Manhas,Delhi Daredevils,6,598040
13,M Manhas,Delhi Daredevils,7,729298
0,M Muralitharan,Delhi Daredevils,2,392194
3,M Muralitharan,Delhi Daredevils,2,392211
2,M Rawat,Delhi Daredevils,1,335989
5,M Rawat,Delhi Daredevils,1,336020
2,M Rawat,Delhi Daredevils,1,336043
14,M Vijay,Delhi Daredevils,2,392211
14,M Vijay,Delhi Daredevils,3,419121
17,M Vijay,Delhi Daredevils,3,419160
35,M Vijay,Delhi Daredevils,4,501258
48,M Vijay,Delhi Daredevils,5,548369
113,M Vijay,Delhi Daredevils,5,548385
18,M Vijay,Delhi Daredevils,6,598025
31,M Vijay,Delhi Daredevils,6,598067
19,M Vijay,Delhi Daredevils,8,829730
1,M Vijay,Delhi Daredevils,9,980918
25,M Vijay,Delhi Daredevils,9,980976
8,M Vohra,Delhi Daredevils,6,598064
42,M Vohra,Delhi Daredevils,7,734024
47,M Vohra,Delhi Daredevils,7,734044
1,M Vohra,Delhi Daredevils,8,829772
32,M Vohra,Delhi Daredevils,9,980918
16,MA Agarwal,Delhi Daredevils,5,548315
0,Mandeep Singh,Delhi Daredevils,3,419136
11,Mandeep Singh,Delhi Daredevils,4,501262
21,Mandeep Singh,Delhi Daredevils,5,548374
0,Mandeep Singh,Delhi Daredevils,5,548379
24,Mandeep Singh,Delhi Daredevils,6,598064
30,MC Henriques,Delhi Daredevils,2,392216
2,MC Henriques,Delhi Daredevils,2,392224
26,MC Henriques,Delhi Daredevils,6,598059
74,MC Henriques,Delhi Daredevils,8,829798
0,MC Henriques,Delhi Daredevils,9,980988
18,MC Henriques,Delhi Daredevils,9,981008
1,MD Mishra,Delhi Daredevils,3,419125
25,MD Mishra,Delhi Daredevils,3,419165
7,MD Mishra,Delhi Daredevils,4,501218
14,MDKJ Perera,Delhi Daredevils,6,598006
15,MEK Hussey,Delhi Daredevils,3,419160
5,MEK Hussey,Delhi Daredevils,4,501258
38,MEK Hussey,Delhi Daredevils,5,548369
20,MEK Hussey,Delhi Daredevils,5,548385
65,MEK Hussey,Delhi Daredevils,6,598025
26,MEK Hussey,Delhi Daredevils,6,598067
10,MEK Hussey,Delhi Daredevils,7,729314
56,MEK Hussey,Delhi Daredevils,7,734036
13,MF Maharoof,Delhi Daredevils,3,419119
4,MG Johnson,Delhi Daredevils,9,980918
47,Misbah-ul-Haq,Delhi Daredevils,1,336031
48,MJ Guptill,Delhi Daredevils,9,980998
0,MJ Lumb,Delhi Daredevils,3,419139
0,MJ McClenaghan,Delhi Daredevils,8,829752
39,MK Pandey,Delhi Daredevils,3,419133
80,MK Pandey,Delhi Daredevils,5,548342
10,MK Pandey,Delhi Daredevils,6,598072
48,MK Pandey,Delhi Daredevils,7,729294
23,MK Pandey,Delhi Daredevils,7,733990
0,MK Pandey,Delhi Daredevils,8,829744
22,MK Pandey,Delhi Daredevils,8,829766
15,MK Pandey,Delhi Daredevils,9,980908
0,MK Tiwary,Delhi Daredevils,3,419136
26,MK Tiwary,Delhi Daredevils,3,419149
61,MK Tiwary,Delhi Daredevils,4,501235
0,MK Tiwary,Delhi Daredevils,5,548312
8,MK Tiwary,Delhi Daredevils,5,548362
23,MK Tiwary,Delhi Daredevils,6,598003
57,ML Hayden,Delhi Daredevils,2,392194
30,ML Hayden,Delhi Daredevils,2,392211
93,ML Hayden,Delhi Daredevils,3,419121
1,ML Hayden,Delhi Daredevils,3,419160
23,MM Patel,Delhi Daredevils,2,392235
1,MM Patel,Delhi Daredevils,5,548330
2,MM Sharma,Delhi Daredevils,8,829712
15,MM Sharma,Delhi Daredevils,9,980918
74,MN van Wyk,Delhi Daredevils,2,392216
0,MN van Wyk,Delhi Daredevils,2,392224
2,Mohammad Ashraful,Delhi Daredevils,2,392240
52,MP Stoinis,Delhi Daredevils,9,980976
13,MR Marsh,Delhi Daredevils,3,419165
2,MS Bisla,Delhi Daredevils,3,419113
4,MS Bisla,Delhi Daredevils,6,598003
4,MS Bisla,Delhi Daredevils,6,598045
32,MS Dhoni,Delhi Daredevils,1,336006
33,MS Dhoni,Delhi Daredevils,1,336014
5,MS Dhoni,Delhi Daredevils,2,392194
6,MS Dhoni,Delhi Daredevils,2,392211
0,MS Dhoni,Delhi Daredevils,3,419160
63,MS Dhoni,Delhi Daredevils,4,501258
11,MS Dhoni,Delhi Daredevils,5,548321
23,MS Dhoni,Delhi Daredevils,5,548385
44,MS Dhoni,Delhi Daredevils,6,598025
58,MS Dhoni,Delhi Daredevils,6,598067
32,MS Dhoni,Delhi Daredevils,7,729298
12,MS Dhoni,Delhi Daredevils,7,733986
30,MS Dhoni,Delhi Daredevils,8,829712
27,MS Dhoni,Delhi Daredevils,8,829806
27,MS Dhoni,Delhi Daredevils,9,980970
13,MS Gony,Delhi Daredevils,1,336014
6,MS Gony,Delhi Daredevils,2,392194
31,MV Boucher,Delhi Daredevils,1,336003
36,MV Boucher,Delhi Daredevils,2,392199
10,MV Boucher,Delhi Daredevils,2,392237
2,MV Boucher,Delhi Daredevils,3,419133
15,N Saini,Delhi Daredevils,5,548374
4,NJ Maddinson,Delhi Daredevils,7,729286
4,NK Patel,Delhi Daredevils,1,336020
2,NLTC Perera,Delhi Daredevils,6,598015
3,NLTC Perera,Delhi Daredevils,8,829772
14,NLTC Perera,Delhi Daredevils,9,980970
9,NV Ojha,Delhi Daredevils,2,392235
24,NV Ojha,Delhi Daredevils,3,419116
27,NV Ojha,Delhi Daredevils,3,419139
13,NV Ojha,Delhi Daredevils,7,733998
12,NV Ojha,Delhi Daredevils,8,829736
7,NV Ojha,Delhi Daredevils,9,980988
16,NV Ojha,Delhi Daredevils,9,981008
1,OA Shah,Delhi Daredevils,5,548350
1,OA Shah,Delhi Daredevils,5,548354
4,P Awana,Delhi Daredevils,5,548374
29,P Dogra,Delhi Daredevils,3,419116
20,P Dogra,Delhi Daredevils,3,419139
6,P Kumar,Delhi Daredevils,1,336003
2,P Kumar,Delhi Daredevils,1,336031
0,P Kumar,Delhi Daredevils,3,419133
8,P Kumar,Delhi Daredevils,5,548374
3,P Kumar,Delhi Daredevils,5,548379
1,P Kumar,Delhi Daredevils,8,829736
