wickets,stadium,bowling_style
43,Himachal Pradesh Cricket Association Stadium,Right-arm fast
23,Himachal Pradesh Cricket Association Stadium,Right-arm fast-medium
43,Himachal Pradesh Cricket Association Stadium,Right-arm medium
19,Himachal Pradesh Cricket Association Stadium,Right-arm medium-fast
17,Himachal Pradesh Cricket Association Stadium,Right-arm offbreak
8,Himachal Pradesh Cricket Association Stadium,Slow left-arm orthodox
8,Holkar Cricket Stadium,Left-arm fast-medium
3,Holkar Cricket Stadium,Left-arm medium
1,Holkar Cricket Stadium,Legbreak
3,Holkar Cricket Stadium,Right-arm fast
7,Holkar Cricket Stadium,Right-arm fast-medium
1,Holkar Cricket Stadium,Right-arm medium
5,Holkar Cricket Stadium,Right-arm offbreak
9,Holkar Cricket Stadium,Slow left-arm orthodox
4,JSCA International Stadium Complex,Left-arm fast
3,JSCA International Stadium Complex,Left-arm fast-medium
3,JSCA International Stadium Complex,Left-arm medium
9,JSCA International Stadium Complex,Left-arm medium-fast
9,JSCA International Stadium Complex,Legbreak
7,JSCA International Stadium Complex,Legbreak googly
7,JSCA International Stadium Complex,Right-arm fast
16,JSCA International Stadium Complex,Right-arm fast-medium
30,JSCA International Stadium Complex,Right-arm medium
18,JSCA International Stadium Complex,Right-arm medium-fast
31,JSCA International Stadium Complex,Right-arm offbreak
22,JSCA International Stadium Complex,Slow left-arm orthodox
7,Kingsmead,Left-arm fast
39,Kingsmead,Left-arm fast-medium
9,Kingsmead,Left-arm medium
19,Kingsmead,Left-arm medium-fast
16,Kingsmead,Legbreak
19,Kingsmead,Legbreak googly
25,Kingsmead,Right-arm fast
37,Kingsmead,Right-arm fast-medium
44,Kingsmead,Right-arm medium
60,Kingsmead,Right-arm medium-fast
67,Kingsmead,Right-arm offbreak
46,Kingsmead,Slow left-arm orthodox
34,M Chinnaswamy Stadium,Left-arm fast
106,M Chinnaswamy Stadium,Left-arm fast-medium
19,M Chinnaswamy Stadium,Left-arm medium
61,M Chinnaswamy Stadium,Left-arm medium-fast
28,M Chinnaswamy Stadium,Legbreak
101,M Chinnaswamy Stadium,Legbreak googly
78,M Chinnaswamy Stadium,Right-arm fast
204,M Chinnaswamy Stadium,Right-arm fast-medium
252,M Chinnaswamy Stadium,Right-arm medium
127,M Chinnaswamy Stadium,Right-arm medium-fast
105,M Chinnaswamy Stadium,Right-arm offbreak
9,M Chinnaswamy Stadium,Slow left-arm chinaman
101,M Chinnaswamy Stadium,Slow left-arm orthodox
22,"MA Chidambaram Stadium, Chepauk",Left-arm fast
