stadium
M Chinnaswamy Stadium
"Punjab Cricket Association Stadium, Mohali"
Feroz Shah Kotla
Wankhede Stadium
Eden Gardens
Sawai Mansingh Stadium
"Rajiv Gandhi International Stadium, Uppal"
"MA Chidambaram Stadium, Chepauk"
Dr DY Patil Sports Academy
Newlands
St George's Park
Kingsmead
SuperSport Park
Buffalo Park
New Wanderers Stadium
De Beers Diamond Oval
OUTsurance Oval
Brabourne Stadium
"Sardar Patel Stadium, Motera"
Barabati Stadium
"Vidarbha Cricket Association Stadium, Jamtha"
Himachal Pradesh Cricket Association Stadium
Nehru Stadium
Holkar Cricket Stadium
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
Subrata Roy Sahara Stadium
Shaheed Veer Narayan Singh International Stadium
JSCA International Stadium Complex
Sheikh Zayed Stadium
Sharjah Cricket Stadium
Dubai International Cricket Stadium
Maharashtra Cricket Association Stadium
"Punjab Cricket Association IS Bindra Stadium, Mohali"
Saurashtra Cricket Association Stadium
Green Park
