wickets,matches,season,player
1,1,6,GH Vihari
1,1,5,GJ Maxwell
1,1,7,GJ Maxwell
2,2,8,GJ Maxwell
1,1,2,GR Napier
1,1,8,GS Sandhu
3,3,1,Gagandeep Singh
3,2,8,Gurkeerat Singh
2,1,9,Gurkeerat Singh
1,1,8,HH Pandya
3,3,9,HH Pandya
9,7,5,HV Patel
4,3,7,HV Patel
17,11,8,HV Patel
1,1,9,HV Patel
5,2,1,Harbhajan Singh
12,8,2,Harbhajan Singh
17,11,3,Harbhajan Singh
14,7,4,Harbhajan Singh
6,4,5,Harbhajan Singh
24,15,6,Harbhajan Singh
14,8,7,Harbhajan Singh
18,11,8,Harbhajan Singh
9,8,9,Harbhajan Singh
3,2,2,Harmeet Singh
8,5,3,Harmeet Singh
3,2,4,Harmeet Singh
7,4,5,Harmeet Singh
6,4,6,Harmeet Singh
7,7,1,I Sharma
11,7,2,I Sharma
7,5,3,I Sharma
11,5,4,I Sharma
15,10,6,I Sharma
3,2,7,I Sharma
1,1,8,I Sharma
3,2,9,I Sharma
1,1,6,IC Pandey
6,5,7,IC Pandey
11,9,8,IC Pandey
15,10,1,IK Pathan
17,9,2,IK Pathan
15,10,3,IK Pathan
11,8,4,IK Pathan
8,7,5,IK Pathan
10,9,6,IK Pathan
4,3,7,IK Pathan
9,4,7,Imran Tahir
15,7,8,Imran Tahir
5,2,9,Imran Tahir
1,1,3,Iqbal Abdulla
16,10,4,Iqbal Abdulla
4,4,5,Iqbal Abdulla
7,4,6,Iqbal Abdulla
4,3,8,Iqbal Abdulla
6,3,9,Iqbal Abdulla
3,2,2,J Botha
7,5,4,J Botha
9,7,5,J Botha
5,4,6,J Botha
1,1,8,J Botha
10,9,8,J Suchith
5,4,4,J Syed Mohammad
3,2,6,J Syed Mohammad
8,5,3,J Theron
2,1,5,J Theron
1,1,8,J Theron
2,2,8,J Yadav
2,2,9,J Yadav
17,9,1,JA Morkel
13,10,2,JA Morkel
11,8,3,JA Morkel
15,9,4,JA Morkel
13,9,5,JA Morkel
7,4,6,JA Morkel
4,4,7,JA Morkel
3,2,8,JA Morkel
2,1,9,JA Morkel
3,2,2,JD Ryder
4,4,4,JD Ryder
1,1,5,JD Ryder
4,2,3,JD Unadkat
6,4,4,JD Unadkat
13,6,6,JD Unadkat
10,5,7,JD Unadkat
3,1,1,JDP Oram
5,3,2,JDP Oram
1,1,4,JDP Oram
1,1,7,JDS Neesham
6,3,4,JE Taylor
3,2,4,JEC Franklin
6,5,5,JEC Franklin
4,3,1,JH Kallis
6,5,2,JH Kallis
13,9,3,JH Kallis
7,4,4,JH Kallis
15,9,5,JH Kallis
16,9,6,JH Kallis
4,4,7,JH Kallis
3,1,6,JJ Bumrah
5,3,7,JJ Bumrah
3,3,8,JJ Bumrah
15,6,9,JJ Bumrah
3,2,4,JJ van der Wath
3,1,3,JM Kemp
2,1,6,JO Holder
1,1,7,JO Holder
2,1,9,JO Holder
4,3,2,JP Duminy
1,1,3,JP Duminy
4,4,4,JP Duminy
1,1,5,JP Duminy
3,2,7,JP Duminy
8,4,8,JP Duminy
2,2,9,JP Duminy
1,1,4,JP Faulkner
3,2,5,JP Faulkner
28,13,6,JP Faulkner
11,8,7,JP Faulkner
8,5,8,JP Faulkner
2,2,9,JP Faulkner
7,5,1,JR Hopes
7,7,4,JR Hopes
1,1,7,JW Hastings
2,1,9,JW Hastings
6,4,3,Jaskaran Singh
8,6,1,Joginder Sharma
2,2,2,Joginder Sharma
2,2,3,Joginder Sharma
3,2,7,K Santokie
15,9,3,KA Pollard
10,8,4,KA Pollard
16,10,5,KA Pollard
10,8,6,KA Pollard
2,2,7,KA Pollard
3,3,8,KA Pollard
1,1,8,KC Cariappa
